"round","date","nSamples","nPos","phat","ssw"
17,2022-01-11,11137,405,0.0411927649176767,0.000118450721566028
17,2022-01-12,8866,348,0.0423693949297565,0.000152682856351152
17,2022-01-13,7623,314,0.0445397936281359,0.000176231584844678
17,2022-01-14,6409,246,0.0420767075363788,0.0002099686928117
17,2022-01-15,3496,151,0.0476758972343031,0.000384863189756498
17,2022-01-16,1760,75,0.0497700083279909,0.000751557956650238
17,2022-01-17,7705,280,0.0417767397753815,0.000170511510655176
17,2022-01-18,4878,171,0.0400595321725175,0.000273254370941771
17,2022-01-19,4004,131,0.035593799644511,0.000334033642324578
17,2022-01-20,2757,106,0.0443858850891082,0.000501279769213116
17,2022-01-21,685,30,0.0525720414498375,0.00202150070446504
17,2022-01-22,162,5,0.0334195972701629,0.00749516896526146
17,2022-01-24,11,1,0.0918208163705337,0.0992398263611365
18,2022-02-08,2242,84,0.0414278914294453,0.00051773875407859
18,2022-02-09,3576,137,0.0389013146223022,0.000328975857093413
18,2022-02-10,5314,155,0.0297477401359093,0.000219513018915018
18,2022-02-11,5989,209,0.0360502855563474,0.000195009853225905
18,2022-02-12,4764,173,0.0383047273322792,0.00025175791621543
18,2022-02-13,2736,76,0.0283535940344031,0.000441175282814593
18,2022-02-14,13062,353,0.0262923713869025,8.9186587695747e-05
18,2022-02-15,9275,243,0.0253209809622584,0.000126135734053386
18,2022-02-16,8185,237,0.0288911250934454,0.00014530048518355
18,2022-02-17,6641,184,0.0280218611266625,0.000178503166577654
18,2022-02-18,3597,105,0.027189821881703,0.000332066761406377
18,2022-02-19,2835,68,0.0225811497647956,0.000423703633564142
18,2022-02-20,1748,58,0.0334202528970844,0.000676484902981903
18,2022-02-21,6097,164,0.027226268367696,0.00019490645728095
18,2022-02-22,3744,86,0.0236175874664142,0.000320107165388017
18,2022-02-23,3050,86,0.0284807609231506,0.00039325709866558
18,2022-02-24,2325,52,0.0206027693020016,0.000518412855454209
18,2022-02-25,2227,54,0.0249251012792217,0.000538421858768637
18,2022-02-26,1343,34,0.0253443717365661,0.000893143094921669
18,2022-02-27,849,27,0.0297337965714657,0.00145304585357528
18,2022-02-28,3138,92,0.0287942655607597,0.000390588199831253
18,2022-03-01,1484,35,0.0229602417238984,0.000831543842034364
18,2022-03-02,500,14,0.0276714772654807,0.00250565780205157
18,2022-03-03,182,4,0.0203471983507557,0.00663755328278846
19,2022-03-08,1869,103,0.0544350939920534,0.000654028905949585
19,2022-03-09,3756,169,0.0463264153134032,0.000316851170850773
19,2022-03-10,5361,234,0.0434570240921643,0.000222504747382674
19,2022-03-11,5544,259,0.0464502546930175,0.000215519335243041
19,2022-03-12,4365,233,0.0550655543188818,0.000277695767323754
19,2022-03-13,2960,154,0.0542672467100949,0.000410512473477067
19,2022-03-14,12857,653,0.0525020491414085,9.25317782138052e-05
19,2022-03-15,9744,585,0.0611998457579415,0.000123459844066593
19,2022-03-16,9212,715,0.0764925575763578,0.000130526885869169
19,2022-03-17,8554,585,0.0698156585972087,0.000140180815423955
19,2022-03-18,6530,459,0.0709466066028588,0.000184607348370156
19,2022-03-19,3633,225,0.0661979367398279,0.000342685091940869
19,2022-03-20,2241,154,0.0682666094377977,0.000558362708625226
19,2022-03-21,8276,559,0.0681358395761103,0.000147093123339762
19,2022-03-22,5370,391,0.0711544583782493,0.00022649040294071
19,2022-03-23,3945,281,0.0704216484783476,0.000311982758999152
19,2022-03-24,3083,221,0.070917829619625,0.000400064849757254
19,2022-03-25,2446,186,0.0761506134473988,0.000500582702599271
19,2022-03-26,1235,94,0.0747904161798203,0.00101103155889734
19,2022-03-27,677,51,0.0737841538492385,0.00182311575126523
19,2022-03-28,2734,217,0.075056296359466,0.000457511206302739
19,2022-03-29,2006,184,0.0908768073502249,0.000615124910121581
19,2022-03-30,1677,119,0.0669813913011425,0.000757533725887733
19,2022-03-31,1069,70,0.0582792682906332,0.00116837795274544
